"",,,,,15 AYERA 'B'
"",,,,,16 BAR ABOCE
"",,,,09AKERE,01 ACUT AYIKI
"",,,,,02 AMIN TENG
"",,,,,03 ANGA YIKI  A
"",,,,,04 ANGA YIKI  B
"",,,,,05 ANYAPO TO  IBADE
"",,,,,06 DWOK CAN IKWERI
"",,,,,07 OBANI
"",,,,,08 OGEI
"",,,,,09 OKII ILERA
"",,,,,10 OLEL PEK
"",,,,,11 OLILI
"",,,,,12 OMELE
"",,,,,13 TEIBU
"",,,,10ATANA,01 ABARLER
"",,,,,02 ABOLO EAST
"",,,,,03 ABOLO WEST
"",,,,,04 ABULI
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,02APAC,10ATANA,06 ALWANGI 'A'
"",,,,,07 ALWANGI 'B'
"",,,,,08 ANGINA
"",,,,,09 ANGU 'A'
"",,,,,10 ANGU 'B'
"",,,,,11 AWIKOT
"",,,,,12 AWIR
"",,,,,13 AYEGERO
"",,,,,14 AYOMJERI
"",,,,,15 BAR OWELO
"",,,,,16 IWAL
"",,,,,17 OMUKU WIE 'A'
"",,,,,18 OMUKU WIE B
"",,,,11ABEDI,01 ABONGRWOT
"",,,,,02 ACANDYANG 'A'
"",,,,,03 ACANDYANG 'B'
"",,,,,04 ADAG AYELA
"",,,,,05 AGWENG
"",,,,,06 AKUKINGA
"",,,,,07 ALOGORO
"",,,,,08 AMWOK
"",,,,,09 ANYIGE
"",,,,,10 ATAR
"",,,,,11 BAR OPOK 'A'
"",,,,,12 BAR OPOK 'B'
"",,,,,13 BARADU
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,02APAC,11ABEDI,15 LANGO CENTRE
"",,,,,16 OMER
"",,,,,17 OTEK
"",,,,,18 TE OPOK
"",,,,,19 WITIM 'A'
"",,,,,20 WITIM 'B'
"",,,03APAC TOWN COUNCIL,12EASTERN WARD,01 AGULU
"",,,,,02 AKAR
"",,,,,03 AKERE  B
"",,,,,04 ATIK CELL
"",,,,,05 MARKET STREET
"",,,,,06 UPPER CENTRE
"",,,,13WESTERN WARD,01 AKERE 'A'
"",,,,,02 BAR ODONG
"",,,,,03 BIASHARA
"",,,,,04 HOSPITAL & AROUND
"",,,,,05 TEMOGO
"",,,04CHEGERE,14KIDILANI,01 ABEDI A
"",,,,,02 ABULUMOGO
"",,,,,03 ACAN PII
"",,,,,04 ADIR
"",,,,,05 ADWONGOKUN
"",,,,,06 ALIK A
"",,,,,07 AWIRI
"",,,,,08 KWOYO 'A'
"",,,,,09 KWOYO 'B'
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,04CHEGERE,14KIDILANI,11 ALIK B
"",,,,,12 OKAROWOK
"",,,,15CHEGERE,01 ABUTABER
"",,,,,02 ANGEKI B
"",,,,,03 ADYEGI
"",,,,,04 ANYAMBAZI B
"",,,,,06 ANGEKI A
"",,,,,07 ANYAMBAZI A
"",,,,,08 APOKI
"",,,,,09 ARWOTOLEKO
"",,,,,11 ATINGLAKI
"",,,,,12 AYERA
"",,,,16ATIGOLWOK,01 ABOI A
"",,,,,04 ACAN DEK PE
"",,,,,05 ADAG AYELA
"",,,,,06 ADWIL
"",,,,,08 AMIN KEC B
"",,,,,11 ANENO BER
"",,,,,13 ANYWAR GIKI
"",,,,,14 ARWOT NYAP
"",,,,,15 AWE - INYEKO
"",,,,,16 OLUMUNU
"",,,,,17 ABOI B
"",,,,17BARODILO,01 ABOKE
"",,,,,03 ACOK A
"",,,,,04 ADOK 'B'
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,04CHEGERE,17BARODILO,06 AKADAMERI
"",,,,,07 AKAIDEBE
"",,,,,08 AJO-ODUR B
"",,,,,09 ACOK B
"",,,,18TEBOKE,01 ABOLO A
"",,,,,02 ADULA A
"",,,,,04 ADYANG A
"",,,,,06 AKAIDEBE
"",,,,,08 ANGUR
"",,,,,09 OKAROWOK A
"",,,,,10 ABOLO B
"",,,,,11 ADULA B
"",,,,,12 ADYANG B
"",,,,26ILEE,01 ADOK 'A'
"",,,,,02 ADOK 'C'
"",,,,,03 ADYEGI 'A'
"",,,,,04 ADYEGI 'B'
"",,,,,05 ADYEGI 'C'
"",,,,,06 ILEE 'A'
"",,,,,07 ILEE 'B'
"",,,,,08 ODYEK PEE
"",,,,,09 GIDO
"",,,,,10 ADYEGI D
"",,,,28ADEM,01 ADEM
"",,,,,02 ADINGDONG
"",,,,,04 ALARI
District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
01APAC,003MARUZI COUNTY,04CHEGERE,28ADEM,10 ATEK A
"",,,,11 ATEK B
"",,,,12 ALONG B
"",,,,13 CHAMA
"",,,29AGONG,01 ADWONGMOM B
"",,,,02 AGONG B
"",,,,03 ADWONGMOM A
"",,,,05 AGONG A
"",,,,07 AMUNOMIAPII
"",,,30OLOLANGO,01 ACANOKUN B
"",,,,02 ACANOKUN A
"",,,,03 DUL OWELO B
"",,,,04 OKUTO-AGWE B
"",,,,05 OLOLANGO B
"",,,,08 AKUR-ITOO
"",,,,09 DUL OWELO A
"",,,,10 OKUTO-AGWE A
"",,,,11 OLOLANGO A
"",,,31ONGICA,02 ABWAL A
"",,,,03 ABWAL B
"",,,,07 AMIN KEC A
"",,,,09 AMIN KEC C
"",,,,10 AMWAK
"",,,,12 ANGANGUTI
"",,,,17 ONGICA
"",,,,18 OYIMA
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,04CHEGERE,31ONGICA,20 ANGEOKOMA
"",,,05IBUJE,19AGANGA,01 ABADE
"",,,,,02 ABONGORWOT
"",,,,,03 AGANGA
"",,,,,04 ALWALA
"",,,,,05 IGOTI
"",,,,,06 WAITUMBA
"",,,,20TAROGALI,01 ABONGOKERE
"",,,,,02 ADAK 'A'
"",,,,,03 ADAK 'B'
"",,,,,04 ALENGA
"",,,,,05 AMOLA
"",,,,,06 BARCUT
"",,,,,07 ONEKOGWOK
"",,,,,08 RWAKISAZA
"",,,,,09 TAROGALI
"",,,,,10 TEACODA
"",,,,,11 TEBOKE
"",,,,21AKETO,01 ADUNI
"",,,,,02 ANENOBER
"",,,,,03 BOKE
"",,,,,04 GINNERY
"",,,,,05 LANGODYANG
"",,,,,06 ODIT
"",,,,,07 OJAA
"",,,,,08 OLUT
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,05IBUJE,21AKETO,10 OTUCULUK
"",,,,,11 PIDA
"",,,,22AMII,01 ABERIDWOGO
"",,,,,02 ACANDANO
"",,,,,03 ACOKOGORO
"",,,,,04 ADYANGODEO
"",,,,,05 AKAO IDEBE
"",,,,,06 ALADO
"",,,,,07 ATINLEE
"",,,,,08 IBUJE S.S
"",,,,,09 MICIRI 'A'
"",,,,,10 MICIRI 'B'
"",,,,,11 CULA LOBO
"",,,,23ALWOROCENG,01 ACINANGA
"",,,,,02 ADOK 'A'
"",,,,,03 ADOK 'B'
"",,,,,04 ADYELOWANG
"",,,,,05 AGOGA
"",,,,,06 AJOADOKO 'A'
"",,,,,07 AJOADOKO 'B'
"",,,,,08 AJODYEK
"",,,,,09 AKURUKONG
"",,,,,10 ALEKOLI
"",,,,,11 AMIAMOLA
"",,,,,12 APELE
"",,,,,13 AYAMOKUTA
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,05IBUJE,23ALWOROCENG,15 OBALIA
"",,,,,16 TE-GOT
"",,,,25AMILO,01 ABATAPO
"",,,,,02 AJWINYA
"",,,,,03 ALEBTONG
"",,,,,04 AMII 'A'
"",,,,,05 AMII 'B'
"",,,,,06 AMII DAM
"",,,,,07 AMILO
"",,,,,08 AMWONYOCAO 'A'
"",,,,,09 AMWONYOCAO 'B'
"",,,,,10 APALAMIO
"",,,,,11 APALIODONG
"",,,,,12 CONGLOBO
"",,,,,13 TEITEK
"",02ARUA,013ARUA MUNICIPALITY,01ARUA HILL,01AWINDIRI,01 ACADEMY CELL
"",,,,,02 ARUA HILL CELL
"",,,,,03 CONGALOYA CELL
"",,,,,"04 JUNIOR QUARTERSCELL"
"",,,,,05 NIVA CELL
"",,,,,06 NSAMBIA NORTH CELL
"",,,,,07 NSAMBIA SOUTH CELL
"",,,,02BASAAR,01 ARUA HOSPITAL
"",,,,,02 ARUA PUBLIC CELL
"",,,,,03 CENTRAL MARKET CELL
"",,,,,04 GAGA CELL
District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
02ARUA,013ARUA MUNICIPALITY,01ARUA HILL,02BASAAR,06 OLD PARK CELL
"",,,,07 POLICE LINE CELL
"",,,03MVARA,01 ANYAFIO WEST CELL
"",,,,"02 ANYAFIYO CENTRALCELL"
"",,,,03 ANYAFIYO EAST CELL
"",,,,04 EWARIYO CELL
"",,,,05 GOLF COURSE
"",,,,06 MVARA SCHOOL CELL
"",,,,07 ZAMBIA CELL
"",,,,08 CONGO CELL
"",,02OLI RIVER,04KENYA,01 ADRIKO
"",,,,02 CLUB
"",,,,03 ENYAU
"",,,,04 JASINTO
"",,,,05 KEBIRI
"",,,,06 LUMUMBA
"",,,,07 ODROKODOA
"",,,,08 OMBEZEVUA
"",,,,09 OZUA
"",,,,10 PRISON
"",,,05PANGISA,01 AZIA
"",,,,02 BARUKU CENTRAL
"",,,,03 MURU
"",,,,04 OJULUA
"",,,,05 OLUODRI
"",,,,06 ORPHANAGE
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",02ARUA,013ARUA MUNICIPALITY,02OLI RIVER,05PANGISA,08 OYOOZE
"",,,,,10 UPPER BIBIA
"",,,,,11 ABIA
"",,,,06TANGANYIKA,"01 OBOLOKOFUKUCENTRAL"
"",,,,,02 OBOLOKOFUKU EAST
